"","Identifier","Species","Reference effect size","Reference dominance system","Reference relatedness"
"360",360,"Crocuta_crocuta","(Strauss and Holekamp, 2019)","(Hofer and East, 2003)","(Horn, Engh, Scribner, et al., 2004)"
"361",361,"Propithecus_verreauxi","(Kubzdela 1998)","(Kubzdela 1998)","(Lawler, Richard, and Riley, 2003)"
"362",362,"Propithecus_verreauxi","(Kubzdela 1998)","(Kubzdela 1998)","(Lawler, Richard, and Riley, 2003)"
"363",363,"Propithecus_verreauxi","(Kubzdela 1998)","(Kubzdela 1998)","(Lawler, Richard, and Riley, 2003)"
"364",364,"Macaca_mulatta","(Blomquist, Sade, and Berard, 2010)","(Deutsch and Lee, 1991)","(Chepko-Sade and Olivier, 1979)"
"365",365,"Macaca_mulatta","(Blomquist, Sade, and Berard, 2010)","(Deutsch and Lee, 1991)","(Chepko-Sade and Olivier, 1979)"
"366",366,"Macaca_mulatta","(Blomquist, Sade, and Berard, 2010)","(Deutsch and Lee, 1991)","(Chepko-Sade and Olivier, 1979)"
"367",367,"Papio_ursinus","(Ron, Henzi, and Motro, 1996)","(HOLEKAMP and SMALE, 1991)",NA
"368",368,"Papio_ursinus","(Ron, Henzi, and Motro, 1996)","(HOLEKAMP and SMALE, 1991)",NA
"369",369,"Papio_ursinus","(Ron, Henzi, and Motro, 1996)","(HOLEKAMP and SMALE, 1991)",NA
"370",370,"Macaca_mulatta","(Simpson and Simpson, 1982)","(Deutsch and Lee, 1991)",NA
"371",371,"Macaca_fuscata","(Koyama, Takahata, Huffman, Norikoshi, and Suzuki, 1992)","(Koyama et al. 2003)","(Koyama et al. 2003)"
"372",372,"Macaca_fuscata","(Koyama, Takahata, Huffman, et al., 1992)","(Borries, Sommer, and Srivastava, 1991)","@koyama2003matrilineal"
"373",373,"Macaca_mulatta","(Maestripieri, 2001)","(Deutsch and Lee, 1991)","(Bernstein and Ehardt, 1986)"
"374",374,"Macaca_mulatta","(Maestripieri, 2001)","(Deutsch and Lee, 1991)","(Bernstein and Ehardt, 1986)"
"375",375,"Semnopithecus_schistaceus","(VRIES, KOENIG, and BORRIES, 2016)","(VRIES, KOENIG, and BORRIES, 2016)",NA
